variable,beta
ag1_er0,1.7560679383953317
ag2_er0,4.555274634880487
sz1_er0,0.7443277265210039
nd1_er0,0.6308590364310884
gr1_er0,0.3462287839000938
sc1_er0,-0.2110969326598672
yr1_er0,-0.045504610416172736
ag1_er1,0.1958986203588129
ag2_er1,2.929125051895787
sz1_er1,2.27417420673498
nd1_er1,0.6724828209061207
gr1_er1,0.7050339629739382
sc1_er1,-0.32039363353015476
yr1_er1,-0.048251370712776756
ag_ot_ea.beta.1,3.768865429383992
ag_ot_ea.beta.2,-30.60582416224846
yr_ot_ea.beta,-0.02342200416022824
h0_br_i,-3.0153139765165835
h0_br_t1,-0.5755380524044251
h0_br_t2,-0.1028439317178058
h1_br_i,-2.3193510039281637
h1_br_t1,-3.622538332641392
h1_br_t2,-0.542240944493945
h_ot_i,-4.736930334618728
h_ot_t1,1.3078560827584007
h_ot_t2,0.49716395288310283
